date,stage_code,event_code,event_name,event_stage,stage,stage_status,gender,discipline_name,discipline_code,venue,participant_code,participant_name,participant_type,participant_country_code,participant_country,result,result_type,result_WLT,result_IRM,bib
2024-08-07T12:38:44+02:00,TKWW49KG--------------8FNL000700--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1894538,POURYOUNES LANGEROUDI Dina,Person,EOR,EOR,0,POINTS,L,,111
2024-08-07T12:38:44+02:00,TKWW49KG--------------8FNL000700--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1910372,GUO Qing,Person,CHN,China,2,POINTS,W,,106
2024-08-07T13:08:53+02:00,TKWW49KG--------------8FNL000800--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1566732,DINCEL KAVURAT Merve,Person,TUR,Türkiye,2,POINTS,W,,103
2024-08-07T13:08:53+02:00,TKWW49KG--------------8FNL000800--,TKWW49KG,Women -49kg,Women -49kg Round of 16,Round of 16,FINISHED,W,Taekwondo,TKW,Grand Palais,1929686,MATONTI Ilenia Elisabetta,Person,ITA,Italy,0,POINTS,L,,114
2024-08-07T14:48:07+02:00,TKWW49KG--------------QFNL000100--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1569986,STOJKOVIC Lena,Person,CRO,Croatia,2,POINTS,W,,104
2024-08-07T14:48:07+02:00,TKWW49KG--------------QFNL000100--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1947739,DHAHRI Ikram,Person,TUN,Tunisia,1,POINTS,L,,112
2024-08-07T15:15:47+02:00,TKWW49KG--------------QFNL000200--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1909136,ABUTALEB Dunya Ali M,Person,KSA,Saudi Arabia,0,POINTS,L,,109
2024-08-07T15:15:47+02:00,TKWW49KG--------------QFNL000200--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1902841,WONGPATTANAKIT Panipak,Person,THA,Thailand,2,POINTS,W,,101
2024-08-07T15:40:32+02:00,TKWW49KG--------------QFNL000300--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1546688,CEREZO IGLESIAS Adriana,Person,ESP,Spain,0,POINTS,L,,102
2024-08-07T15:40:32+02:00,TKWW49KG--------------QFNL000300--,TKWW49KG,Women -49kg,Women -49kg Quarterfinal,Quarterfinal,FINISHED,W,Taekwondo,TKW,Grand Palais,1536064,NEMATZADEH Mobina,Person,IRI,IR Iran,2,POINTS,W,,107
